Date,Open,High,Low,Close,Adj Close,Volume
2007-08-02,437.250000,459.750000,437.250000,450.399994,376.042450,3328488
2007-08-03,450.250000,459.725006,449.037506,450.312500,375.969482,4267052
2007-08-06,442.500000,447.737488,438.024994,445.537506,371.982758,3313364
2007-08-07,446.250000,454.950012,446.250000,451.462494,376.929596,2557004
2007-08-08,451.250000,471.250000,451.250000,468.912506,391.498779,5705688
2007-08-09,468.750000,477.750000,458.750000,460.500000,384.475098,4223684
2007-08-10,451.250000,455.450012,444.500000,452.687500,377.952332,3676548
2007-08-13,452.500000,460.000000,451.325012,457.225006,381.740723,1935036
2007-08-14,454.500000,460.500000,453.750000,457.950012,382.346069,1789824
2007-08-16,447.500000,447.500000,432.000000,434.787506,363.007477,4626640
2007-08-17,430.000000,443.750000,425.000000,438.200012,365.856598,7259260
2007-08-20,442.500000,454.500000,442.500000,447.937500,373.986542,2683088
2007-08-21,448.500000,453.000000,434.000000,436.837494,364.718994,4268724
2007-08-22,436.750000,447.750000,429.250000,442.100006,369.112732,4263060
2007-08-23,443.750000,452.487488,433.024994,435.649994,363.727600,3988856
2007-08-24,435.500000,444.750000,435.500000,443.625000,370.385925,2254840
2007-08-27,443.500000,459.975006,443.500000,458.212494,382.565216,2647388
2007-08-28,452.500000,472.500000,452.500000,470.012512,392.417114,3264028
2007-08-29,462.500000,475.000000,462.062500,472.450012,394.452179,3732412
2007-08-30,472.250000,481.000000,471.500000,476.850006,398.125854,3587968
2007-08-31,477.225006,492.475006,475.012512,489.875000,409.000519,4766552
2007-09-03,489.750000,495.250000,486.625000,488.887512,408.175964,2591608
2007-09-04,488.750000,494.000000,487.774994,492.875000,411.505219,2186808
2007-09-05,495.000000,499.825012,486.549988,489.362488,408.572632,2627316
2007-09-06,487.475006,496.750000,487.000000,495.825012,413.968201,2027792
2007-09-07,495.737488,497.500000,488.500000,490.350006,409.397034,2040816
2007-09-10,486.250000,498.625000,486.250000,496.799988,414.782196,2480424
2007-09-11,501.750000,501.750000,495.037506,496.575012,414.594391,2417848
2007-09-12,496.500000,505.500000,496.500000,503.237488,420.156891,3014096
2007-09-13,503.750000,508.600006,501.299988,506.625000,422.985199,2465608
2007-09-14,506.500000,517.375000,506.500000,508.625000,424.654999,2722812
2007-09-17,510.000000,514.724976,505.274994,507.112488,423.392212,1449336
2007-09-18,506.250000,515.974976,501.750000,514.599976,429.643524,3462288
2007-09-19,522.500000,546.250000,518.750000,543.224976,453.542786,4244412
2007-09-20,543.250000,550.000000,540.012512,548.025024,457.550415,2386088
2007-09-21,545.750000,573.500000,537.775024,568.599976,474.728577,3483048
2007-09-24,579.950012,593.750000,572.000000,589.174988,491.906769,3159448
2007-09-25,593.700012,606.500000,583.337524,599.900024,500.861267,2799628
2007-09-26,606.474976,606.474976,578.000000,580.487488,484.653473,4678504
2007-09-27,580.250000,591.000000,577.150024,580.049988,484.288208,2032044
2007-09-28,582.500000,587.250000,567.000000,574.049988,479.278809,3746568
